split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9933965677263552,0.03952818627450982,0.12353306263685226,0.7199843525886536,0.5964512899518013,3264,163200
test,cosine,0.9860027092945021,0.06064460784313726,0.14829424023628235,0.7196885943412781,0.5713943541049957,4080,204000
validation,euclidean,0.9935564821823337,0.03927389705882352,0.45880821347236633,1.1247261762619019,0.6659179627895355,3264,163200
test,euclidean,0.9863920535371011,0.05983578431372549,0.4990609586238861,1.123887300491333,0.6248263418674469,4080,204000
validation,manhattan,0.9929454970368969,0.04151960784313727,2.090224504470825,5.187504768371582,3.097280263900757,3264,163200
test,manhattan,0.9855354875528641,0.06055637254901961,2.2736222743988037,5.187173843383789,2.9135515689849854,4080,204000
