split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.8971866308180748,0.18841605392156865,0.03845556452870369,0.15226130187511444,0.11380573734641075,3264,163200
test,cosine,0.8705541336264898,0.21812745098039216,0.04370518773794174,0.15271440148353577,0.10900921374559402,4080,204000
validation,euclidean,0.8974399250738898,0.18815870098039217,0.2629161477088928,0.46741029620170593,0.2044941484928131,3264,163200
test,euclidean,0.8708427942377932,0.21787254901960784,0.28003719449043274,0.4679720103740692,0.18793481588363647,4080,204000
validation,manhattan,0.8951566329656863,0.19032781862745102,1.1966300010681152,2.184790849685669,0.9881608486175537,3264,163200
test,manhattan,0.8683708988129567,0.21958823529411764,1.2747700214385986,2.1869113445281982,0.9121413230895996,4080,204000
