encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
triplet_semihard_m0p1_top32_cosine_l2,validation,cosine,global,0.01,0.01,0.6620710784313726,0.3360355392156863,1632,2161,3264,163200,0.0415625,1.0,0.01,0.6620710784313726,0,
triplet_semihard_m0p1_top32_cosine_l2,test,cosine,global,0.01,0.007705882352941176,0.7419117647058824,0.3748088235294118,1572,3027,4080,204000,0.03075,1.0,0.007705882352941177,0.7419117647058823,0,
triplet_semihard_m0p1_top32_cosine_l2,validation,cosine,per_user,0.01,0.01,0.5205269607843137,0.26526348039215686,1632,1699,3264,163200,0.01,0.984375,0.01,0.5205269607843137,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p1_top32_cosine_l2,test,cosine,per_user,0.01,0.008401960784313725,0.5911764705882353,0.29978921568627453,1714,2412,4080,204000,0.01625,1.0,0.008401960784313725,0.5911764705882353,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p1_top32_cosine_l2,validation,cosine,guarded,0.01,0.009736519607843138,0.6626838235294118,0.3362101715686275,1589,2163,3264,163200,0.0415625,1.0,0.009736519607843138,0.6626838235294118,5,"s002,s011,s013,s054,s056"
triplet_semihard_m0p1_top32_cosine_l2,test,cosine,guarded,0.01,0.0075343137254901965,0.7448529411764706,0.3761936274509804,1537,3039,4080,204000,0.03075,1.0,0.007534313725490196,0.7448529411764705,5,"s002,s011,s013,s054,s056"
triplet_semihard_m0p1_top32_cosine_l2,validation,euclidean,global,0.01,0.01,0.6623774509803921,0.33618872549019607,1632,2162,3264,163200,0.041875,1.0,0.010000000000000002,0.6623774509803921,0,
triplet_semihard_m0p1_top32_cosine_l2,test,euclidean,global,0.01,0.007651960784313725,0.7426470588235294,0.3751495098039216,1561,3030,4080,204000,0.031,1.0,0.007651960784313725,0.7426470588235293,0,
triplet_semihard_m0p1_top32_cosine_l2,validation,euclidean,per_user,0.01,0.01,0.5205269607843137,0.26526348039215686,1632,1699,3264,163200,0.01,0.984375,0.01,0.5205269607843137,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p1_top32_cosine_l2,test,euclidean,per_user,0.01,0.008401960784313725,0.5911764705882353,0.29978921568627453,1714,2412,4080,204000,0.01625,1.0,0.008401960784313725,0.5911764705882353,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p1_top32_cosine_l2,validation,euclidean,guarded,0.01,0.009736519607843138,0.6629901960784313,0.33636335784313726,1589,2164,3264,163200,0.041875,1.0,0.009736519607843138,0.6629901960784313,4,"s002,s013,s054,s056"
triplet_semihard_m0p1_top32_cosine_l2,test,euclidean,guarded,0.01,0.007495098039215687,0.7455882352941177,0.37654166666666666,1529,3042,4080,204000,0.031,1.0,0.007495098039215686,0.7455882352941174,4,"s002,s013,s054,s056"
triplet_semihard_m0p1_top32_cosine_l2,validation,manhattan,global,0.01,0.01,0.6770833333333334,0.3435416666666667,1632,2210,3264,163200,0.04375,1.0,0.01,0.6770833333333334,0,
triplet_semihard_m0p1_top32_cosine_l2,test,manhattan,global,0.01,0.007602941176470588,0.7612745098039215,0.38443872549019603,1551,3106,4080,204000,0.031,1.0,0.0076029411764705875,0.7612745098039215,0,
triplet_semihard_m0p1_top32_cosine_l2,validation,manhattan,per_user,0.01,0.01,0.53125,0.270625,1632,1734,3264,163200,0.01,0.984375,0.01,0.53125,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_semihard_m0p1_top32_cosine_l2,test,manhattan,per_user,0.01,0.008671568627450981,0.6017156862745098,0.3051936274509804,1769,2455,4080,204000,0.01625,1.0,0.00867156862745098,0.6017156862745099,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
