split,distance_metric,genuine_trials,impostor_trials,genuine_distance_mean,genuine_distance_std,genuine_distance_median,impostor_distance_mean,impostor_distance_std,impostor_distance_median,separation_margin,roc_auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold
validation,euclidean,3264,163200,6.058844640887544,2.146196491266242,5.784282922744751,12.966209324028561,2.6660603879430793,12.810147762298584,6.907364683141018,0.9801592827503245,0.067953431372549,9.325345039367676,0.06789215686274509,0.06801470588235292
validation,cosine,3264,163200,0.10637164808006264,0.07664104475888374,0.08509877324104309,0.4715367627789622,0.14226549023436408,0.4660792052745819,0.36516511469889956,0.986640281457252,0.058578431372549,0.2543826699256897,0.05863970588235294,0.05851715686274506
validation,manhattan,3264,163200,25.72540950336877,8.777169569140254,24.946894645690918,57.59112897103908,11.634454653220489,57.16753959655762,31.865719467670313,0.9847183446946487,0.060049019607843146,40.23843765258789,0.06004901960784314,0.060049019607843146
test,euclidean,4080,204000,6.134233390934327,2.7632836741695512,5.834072828292847,13.034721236462687,3.114613709509908,12.854349613189697,6.90048784552836,0.9785200271530181,0.06898529411764705,9.365056991577148,0.06909803921568627,0.06887254901960782
test,cosine,4080,204000,0.10725181442411506,0.07680659923120932,0.08744871616363525,0.4724951351711746,0.14299825885471681,0.4668165445327759,0.3652433207470595,0.9864775663206459,0.05515196078431374,0.25093770027160645,0.05515686274509804,0.05514705882352944
test,manhattan,4080,204000,25.94910348186306,9.964852926861331,24.994060516357422,57.818997000797125,12.28998712705184,57.350616455078125,31.869893518934067,0.9831085441897347,0.06130392156862745,40.40130615234375,0.06133333333333333,0.06127450980392157
