split,samples,accuracy,macro_f1,weighted_f1
train,13056,0.9772518382352942,0.9772454343814831,0.9772454343814831
validation,3264,0.9151348039215687,0.9141626764642189,0.9141626764642189
test,4080,0.9208333333333333,0.920572322967942,0.9205723229679419
