approach,variant,distance_metric,policy,enrollment_samples,test_accuracy,far,frr,eer,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,balanced_error,roc_auc,notes,far_percent,frr_percent,balanced_error_percent,eer_percent
embedding_based_verification,mean_template_5_enrollment_samples,cosine,global,5,,0.0093627450980392,0.2375,0.0681127450980392,1910,969,4080,204000,0.029,0.95,0.0093627450980392,0.2375,0.1234313725490196,0.9813191987456747,Шаблон построен по ограниченному числу enrollment samples.,0.93627450980392,23.75,12.343137254901961,6.81127450980392
embedding_based_verification,mean_template_10_enrollment_samples,cosine,global,10,,0.0097549019607843,0.1860294117647059,0.0580245098039215,1990,759,4080,204000,0.03675,0.5625,0.0097549019607843,0.1860294117647059,0.0978921568627451,0.9852615532487504,Шаблон построен по ограниченному числу enrollment samples.,0.9754901960784299,18.602941176470587,9.78921568627451,5.80245098039215
embedding_based_verification,mean_template_20_enrollment_samples,cosine,global,20,,0.0095196078431372,0.1627450980392157,0.0578946078431372,1942,664,4080,204000,0.03575,0.5375,0.0095196078431372,0.1627450980392157,0.0861323529411764,0.9854118938629371,Шаблон построен по ограниченному числу enrollment samples.,0.95196078431372,16.274509803921568,8.61323529411764,5.78946078431372
embedding_based_verification,mean_template_30_enrollment_samples,cosine,global,30,,0.0092794117647058,0.1595588235294117,0.0573627450980392,1893,651,4080,204000,0.02875,0.55,0.0092794117647058,0.1595588235294117,0.0844191176470588,0.9860513997020376,Шаблон построен по ограниченному числу enrollment samples.,0.92794117647058,15.95588235294117,8.44191176470588,5.73627450980392
embedding_based_verification,mean_template_50_enrollment_samples,cosine,global,50,,0.0093872549019607,0.1575980392156862,0.0553455882352941,1915,643,4080,204000,0.03275,0.5625,0.0093872549019607,0.1575980392156863,0.0834926470588235,0.9857608834342562,Шаблон построен по ограниченному числу enrollment samples.,0.93872549019607,15.759803921568619,8.34926470588235,5.53455882352941
embedding_based_verification,mean_template_full_train_256_samples,cosine,global,256,,0.0093872549019607,0.1524509803921568,,1915,622,4080,204000,0.0325,0.525,0.0093872549019607,0.1524509803921568,0.0809191176470588,,Шаблон построен по всем 256 train samples пользователя.,0.93872549019607,15.24509803921568,8.091911764705879,
embedding_based_verification,mean_template_5_enrollment_samples,cosine,guarded,5,,0.009235294117647,0.238235294117647,0.0681127450980392,1884,972,4080,204000,0.029,0.95,0.009235294117647,0.238235294117647,0.123735294117647,0.9813191987456747,Шаблон построен по ограниченному числу enrollment samples.,0.9235294117646999,23.8235294117647,12.3735294117647,6.81127450980392
embedding_based_verification,mean_template_10_enrollment_samples,cosine,guarded,10,,0.0093431372549019,0.1860294117647059,0.0580245098039215,1906,759,4080,204000,0.03675,0.5625,0.0093431372549019,0.1860294117647059,0.0976862745098039,0.9852615532487504,Шаблон построен по ограниченному числу enrollment samples.,0.93431372549019,18.602941176470587,9.76862745098039,5.80245098039215
embedding_based_verification,mean_template_20_enrollment_samples,cosine,guarded,20,,0.0090343137254901,0.1629901960784313,0.0578946078431372,1843,665,4080,204000,0.03575,0.5375,0.0090343137254901,0.1629901960784313,0.0860122549019607,0.9854118938629371,Шаблон построен по ограниченному числу enrollment samples.,0.9034313725490101,16.299019607843128,8.60122549019607,5.78946078431372
embedding_based_verification,mean_template_30_enrollment_samples,cosine,guarded,30,,0.0086470588235294,0.1600490196078431,0.0573627450980392,1764,653,4080,204000,0.02875,0.55,0.0086470588235294,0.1600490196078431,0.0843480392156862,0.9860513997020376,Шаблон построен по ограниченному числу enrollment samples.,0.86470588235294,16.00490196078431,8.434803921568621,5.73627450980392
