epoch,loss,triplet_margin_accuracy,val_loss,val_triplet_margin_accuracy
1,0.04849535971879959,0.7534705996513367,0.02228551357984543,0.8808627724647522
2,0.031186070293188095,0.8280392289161682,0.01836087554693222,0.8977254629135132
3,0.02576052024960518,0.8510392308235168,0.016732769086956978,0.9051764607429504
4,0.02282518893480301,0.8639608025550842,0.015289838425815105,0.9130980372428894
5,0.020481927320361137,0.8750980496406555,0.014305369928479195,0.9179607629776001
6,0.018857942894101143,0.881490170955658,0.013523869216442108,0.9214117527008057
7,0.017612501978874207,0.8891372680664062,0.013172123581171036,0.9225097894668579
8,0.016745710745453835,0.8906078338623047,0.012693596072494984,0.9245490431785583
9,0.015754101797938347,0.8970392346382141,0.012153741903603077,0.9266666769981384
10,0.015051444061100483,0.898921549320221,0.011510342359542847,0.9297254681587219
11,0.01450435258448124,0.9011372327804565,0.011331590823829174,0.9320784211158752
12,0.01352311298251152,0.9061568379402161,0.011677131056785583,0.9282352924346924
13,0.013259198516607285,0.9080588221549988,0.01107720099389553,0.9313725233078003
14,0.012643854133784771,0.9112352728843689,0.011292818933725357,0.9308235049247742
15,0.012370224110782146,0.91249018907547,0.011386550962924957,0.9308235049247742
16,0.012423367239534855,0.9136470556259155,0.010824846103787422,0.9341960549354553
17,0.011784503236413002,0.9165686368942261,0.01082603633403778,0.9347450733184814
18,0.0117128174751997,0.916039228439331,0.010841358453035355,0.934509813785553
19,0.011468819342553616,0.9174901843070984,0.010964657180011272,0.9338823556900024
20,0.011273705400526524,0.918647050857544,0.010642778128385544,0.9348235130310059
21,0.010684431530535221,0.9208039045333862,0.010634107515215874,0.9345882534980774
22,0.010966995730996132,0.9207254648208618,0.010472058318555355,0.9350588321685791
23,0.010883211158216,0.9220392107963562,0.010606122203171253,0.9346666932106018
24,0.010571688413619995,0.9217647314071655,0.010335579514503479,0.9375686049461365
25,0.010059213265776634,0.92396080493927,0.010482799261808395,0.9358431100845337
26,0.010366006754338741,0.9227843284606934,0.010301069356501102,0.9354509711265564
27,0.010031333193182945,0.9259215593338013,0.010362201370298862,0.9342744946479797
28,0.01004280149936676,0.9250196218490601,0.01017757412046194,0.9362353086471558
29,0.009842172265052795,0.9252744913101196,0.010089048184454441,0.9374117851257324
30,0.009887236170470715,0.9269607663154602,0.010139607824385166,0.9368627667427063
31,0.009737048298120499,0.9267255067825317,0.010381585918366909,0.9372549057006836
32,0.009743435308337212,0.9291764497756958,0.009873819537460804,0.9388235211372375
33,0.009286487475037575,0.9295686483383179,0.009918085299432278,0.9387450814247131
34,0.009373117238283157,0.9283137321472168,0.00985321868211031,0.9409411549568176
35,0.009099345654249191,0.9297842979431152,0.010369869880378246,0.9376470446586609
36,0.009196818806231022,0.9290784597396851,0.009875886142253876,0.9391372799873352
37,0.008996844291687012,0.931686282157898,0.010021706111729145,0.9378823637962341
38,0.008867904543876648,0.9309607744216919,0.009563357569277287,0.9407058954238892
39,0.008936448954045773,0.9319607615470886,0.00993091519922018,0.9392940998077393
40,0.008671502582728863,0.9333725571632385,0.009789369069039822,0.9400784373283386
41,0.008792174980044365,0.9315882325172424,0.009840769693255424,0.9400784373283386
42,0.008561842143535614,0.9326274394989014,0.009726750664412975,0.941725492477417
43,0.008581423200666904,0.9335294365882874,0.009700564667582512,0.9399215579032898
44,0.00870983675122261,0.9331764578819275,0.009633500128984451,0.941019594669342
45,0.008374160155653954,0.9335490465164185,0.009884842671453953,0.941725492477417
46,0.008441915735602379,0.9340588450431824,0.010144844651222229,0.9387450814247131
