split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.973176114655421,0.07690870098039215,0.0011123858857899904,0.23543277382850647,0.23432038794271648,3264,163200
test,cosine,0.9582376141387928,0.10220588235294116,0.0024975601118057966,0.2354654222726822,0.2329678621608764,4080,204000
validation,euclidean,0.9731846619238993,0.07693321078431373,0.0416250117123127,0.3530427813529968,0.31141776964068413,3264,163200
test,euclidean,0.9582450920319109,0.10214950980392155,0.04797515273094177,0.35365432500839233,0.30567917227745056,4080,204000
validation,manhattan,0.9727245906021721,0.07784007352941175,0.16409367322921753,1.646095871925354,1.4820021986961365,3264,163200
test,manhattan,0.956704312043445,0.101953431372549,0.1908140629529953,1.6474413871765137,1.4566273242235184,4080,204000
