split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9920913530853518,0.04293504901960782,0.15065084397792816,0.9368999004364014,0.7862490564584732,3264,163200
test,cosine,0.9825246041186082,0.0651470588235294,0.18860332667827606,0.9373733401298523,0.7487700134515762,4080,204000
validation,euclidean,0.9923521292516699,0.04158088235294116,0.49585431814193726,1.2734571695327759,0.7776028513908386,3264,163200
test,euclidean,0.9831813359044599,0.06497303921568627,0.54952472448349,1.2730076313018799,0.7234829068183899,4080,204000
validation,manhattan,0.9914085262053658,0.044742647058823505,2.26395320892334,5.873419284820557,3.609466075897217,3264,163200
test,manhattan,0.981556882569204,0.06740196078431371,2.5113444328308105,5.874013423919678,3.362668991088867,4080,204000
