encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
triplet_m0p2_l2,validation,cosine,global,0.01,0.01,0.13909313725490197,0.07454656862745099,1632,454,3264,163200,0.0415625,0.703125,0.010000000000000002,0.13909313725490197,0,
triplet_m0p2_l2,test,cosine,global,0.01,0.012397058823529412,0.2122549019607843,0.11232598039215685,2529,866,4080,204000,0.06175,0.825,0.012397058823529412,0.2122549019607843,0,
triplet_m0p2_l2,validation,cosine,per_user,0.01,0.01,0.12806372549019607,0.06903186274509804,1632,418,3264,163200,0.01,0.71875,0.01,0.12806372549019607,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p2_l2,test,cosine,per_user,0.01,0.011549019607843138,0.19926470588235295,0.10540686274509804,2356,813,4080,204000,0.03875,0.825,0.01154901960784314,0.19926470588235293,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p2_l2,validation,cosine,guarded,0.01,0.009381127450980391,0.1409313725490196,0.07515625,1531,460,3264,163200,0.0415625,0.71875,0.009381127450980393,0.1409313725490196,12,"s005,s011,s020,s021,s028,s029,s030,s032,s039,s043,s054,s055"
triplet_m0p2_l2,test,cosine,guarded,0.01,0.01159313725490196,0.22156862745098038,0.11658088235294117,2365,904,4080,204000,0.06175,0.825,0.011593137254901962,0.2215686274509804,12,"s005,s011,s020,s021,s028,s029,s030,s032,s039,s043,s054,s055"
triplet_m0p2_l2,validation,euclidean,global,0.01,0.01,0.13756127450980393,0.07378063725490197,1632,449,3264,163200,0.043125,0.6875,0.01,0.13756127450980393,0,
triplet_m0p2_l2,test,euclidean,global,0.01,0.012490196078431373,0.2088235294117647,0.11065686274509805,2548,852,4080,204000,0.061,0.825,0.012490196078431373,0.2088235294117647,0,
triplet_m0p2_l2,validation,euclidean,per_user,0.01,0.01,0.12806372549019607,0.06903186274509804,1632,418,3264,163200,0.01,0.71875,0.01,0.12806372549019607,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p2_l2,test,euclidean,per_user,0.01,0.011549019607843138,0.19926470588235295,0.10540686274509804,2356,813,4080,204000,0.03875,0.825,0.01154901960784314,0.19926470588235293,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
