epoch,contrastive_accuracy,loss,val_contrastive_accuracy,val_loss
1,0.5714607834815979,0.22908632457256317,0.7609803676605225,0.05996735394001007
2,0.7212647199630737,0.06649624556303024,0.8330980539321899,0.03149017319083214
3,0.8064313530921936,0.038757212460041046,0.8631764650344849,0.02734048292040825
4,0.8301372528076172,0.0341842882335186,0.8752157092094421,0.02568003721535206
5,0.8457254767417908,0.03187485784292221,0.8840784430503845,0.024748286232352257
6,0.8556764721870422,0.030049283057451248,0.8887842893600464,0.02392508275806904
7,0.8650686144828796,0.028349755331873894,0.8927058577537537,0.023203782737255096
8,0.8768823742866516,0.026963112875819206,0.8999607563018799,0.022463005036115646
9,0.8841961026191711,0.025936927646398544,0.9027451276779175,0.02212349697947502
10,0.8904509544372559,0.025150464847683907,0.9043137431144714,0.0217351745814085
11,0.8953627347946167,0.024453677237033844,0.9053333401679993,0.02159338817000389
12,0.8982843160629272,0.023967048153281212,0.9086666703224182,0.02119542472064495
13,0.9015294313430786,0.02348518557846546,0.9084705710411072,0.021026579663157463
14,0.9040195941925049,0.023056888952851295,0.909490168094635,0.020824745297431946
15,0.905970573425293,0.022765478119254112,0.9113725423812866,0.020646315068006516
16,0.907058835029602,0.022501999512314796,0.9125097990036011,0.020439494401216507
17,0.9075294137001038,0.022294601425528526,0.9132941365242004,0.020431065931916237
18,0.909500002861023,0.02211466245353222,0.9136862754821777,0.020296892151236534
19,0.9103235006332397,0.022009704262018204,0.9143137335777283,0.02022254839539528
20,0.9112941026687622,0.021805303171277046,0.9149019718170166,0.02012225054204464
21,0.9111764430999756,0.021784966811537743,0.914078414440155,0.020095691084861755
22,0.9117646813392639,0.02171477861702442,0.9134901762008667,0.02011280320584774
23,0.9121176600456238,0.02153650112450123,0.9142745137214661,0.02007407322525978
24,0.9119411706924438,0.021518556401133537,0.9150196313858032,0.01998627744615078
25,0.9139999747276306,0.02133658155798912,0.9168627262115479,0.019877005368471146
26,0.9134607911109924,0.02127813920378685,0.9163921475410461,0.019941657781600952
27,0.9155392050743103,0.021164320409297943,0.9166666865348816,0.0198245570063591
28,0.9147353172302246,0.021050693467259407,0.9167842864990234,0.019743265584111214
29,0.9145686030387878,0.021082228049635887,0.9152156710624695,0.01979469135403633
30,0.9159411787986755,0.020992180332541466,0.9157646894454956,0.01991419866681099
31,0.9155686497688293,0.020946715027093887,0.915647029876709,0.019718287512660027
32,0.9168333411216736,0.020828893408179283,0.9169411659240723,0.01965244859457016
33,0.9163137078285217,0.020854724571108818,0.9159215688705444,0.01965426839888096
34,0.9167646765708923,0.020745109766721725,0.917803943157196,0.019614163786172867
35,0.9177156686782837,0.020585469901561737,0.9177647233009338,0.019398437812924385
36,0.9172549247741699,0.02065872959792614,0.9163921475410461,0.019689425826072693
37,0.9180490374565125,0.02059287391602993,0.9157254695892334,0.019731812179088593
38,0.9173529148101807,0.020566504448652267,0.9155294299125671,0.019569100812077522
39,0.9175392389297485,0.020551055669784546,0.9163529276847839,0.01954173669219017
40,0.9185490012168884,0.02044324390590191,0.9176470637321472,0.01946379244327545
41,0.9186078310012817,0.02041945792734623,0.917607843875885,0.019412904977798462
42,0.9185490012168884,0.02039426565170288,0.9167842864990234,0.019489308819174767
43,0.9195685982704163,0.020307956263422966,0.91584312915802,0.01954929530620575
