epoch,contrastive_accuracy,loss,val_contrastive_accuracy,val_loss
1,0.7080000042915344,0.26240935921669006,0.849294126033783,0.1172487661242485
2,0.8238137364387512,0.13589069247245789,0.882745087146759,0.09625816345214844
3,0.8607059121131897,0.11333546787500381,0.8918431401252747,0.09199075400829315
4,0.8763039112091064,0.10611139237880707,0.8973333239555359,0.0891035720705986
5,0.8849313855171204,0.10128086805343628,0.9000784158706665,0.08747547119855881
6,0.8912646770477295,0.09789486974477768,0.9039215445518494,0.08626880496740341
7,0.8965686559677124,0.09531418234109879,0.904235303401947,0.08508933335542679
8,0.8996372818946838,0.09294284135103226,0.9073725342750549,0.08369229733943939
9,0.9031862616539001,0.09113781154155731,0.9055685997009277,0.08334935456514359
10,0.9047156572341919,0.0897972583770752,0.9073333144187927,0.08234449476003647
11,0.9076862931251526,0.08807805925607681,0.9100391864776611,0.08141478896141052
12,0.9089803695678711,0.08708786964416504,0.9114117622375488,0.08088760823011398
13,0.9110196232795715,0.08589933067560196,0.9125097990036011,0.07990428060293198
14,0.9121078252792358,0.08520753681659698,0.9122353196144104,0.0794830173254013
15,0.9122157096862793,0.0846119150519371,0.9142352938652039,0.07889634370803833
16,0.9136568903923035,0.08359964936971664,0.9138823747634888,0.07904926687479019
17,0.9149019718170166,0.08312349766492844,0.9138823747634888,0.07890275865793228
18,0.9155882596969604,0.08267062902450562,0.9142352938652039,0.07857304811477661
19,0.9162254929542542,0.08204545825719833,0.9136470556259155,0.07868176698684692
20,0.9166666865348816,0.08165885508060455,0.9138039350509644,0.07862956076860428
21,0.9170098304748535,0.08147229254245758,0.91231369972229,0.07880287617444992
22,0.9166274666786194,0.08144202083349228,0.9116078615188599,0.07890006899833679
23,0.91707843542099,0.0807744711637497,0.9140391945838928,0.07779164612293243
24,0.9185784459114075,0.08042553067207336,0.9145489931106567,0.07781989872455597
25,0.9182941317558289,0.08027368783950806,0.9131372570991516,0.07777801901102066
26,0.9182646870613098,0.08017103374004364,0.9126274585723877,0.07816006243228912
27,0.9189019799232483,0.0799185261130333,0.9146666526794434,0.07712718844413757
28,0.9194706082344055,0.07972541451454163,0.9142352938652039,0.07735741883516312
29,0.9194509983062744,0.07967469096183777,0.9136862754821777,0.07732884585857391
30,0.9194313883781433,0.07916351407766342,0.9129803776741028,0.07775255292654037
31,0.9194999933242798,0.07922982424497604,0.9142352938652039,0.07708016037940979
32,0.9208039045333862,0.07879878580570221,0.9146666526794434,0.07695801556110382
33,0.9202255010604858,0.07882462441921234,0.9142352938652039,0.07713252305984497
34,0.9209607839584351,0.07865574955940247,0.9135686159133911,0.07667583972215652
35,0.9198039174079895,0.07855486124753952,0.9140391945838928,0.07679210603237152
36,0.9207352995872498,0.07833395153284073,0.9132941365242004,0.07676420360803604
37,0.9213627576828003,0.0781242698431015,0.914078414440155,0.07726646959781647
38,0.9220196008682251,0.07836547493934631,0.9120000004768372,0.07747339457273483
39,0.9210196137428284,0.07832517474889755,0.9141960740089417,0.07715258002281189
40,0.9204705953598022,0.07848326116800308,0.9153725504875183,0.07645773142576218
41,0.9217451214790344,0.0780475065112114,0.9137647151947021,0.07662949711084366
42,0.9217059016227722,0.07792544364929199,0.9146274328231812,0.07615885138511658
43,0.9221372604370117,0.07785581052303314,0.9137254953384399,0.07642949372529984
44,0.9221274256706238,0.07796984910964966,0.914980411529541,0.0762375071644783
45,0.922529399394989,0.07769036293029785,0.9136862754821777,0.07656887918710709
46,0.9223137497901917,0.07775050401687622,0.913019597530365,0.07692447304725647
47,0.9228725433349609,0.07768896222114563,0.91478431224823,0.07610327750444412
48,0.923401951789856,0.07752612233161926,0.9147450923919678,0.07587135583162308
49,0.9229313731193542,0.07754635065793991,0.915647029876709,0.07603825628757477
50,0.9224411845207214,0.07744862884283066,0.9143137335777283,0.07607287168502808
