candidate,objective,margin,l2_normalize,best_distance,best_policy,best_far,best_frr,best_balanced_error,best_eer,best_roc_auc,training_metrics_path,evaluation_dir
triplet_hard_m0p2_top32_cosine_l2,triplet_hard_negative_mining,0.2,True,cosine,per_user,0.011078431372549,0.5284313725490196,0.2697549019607843,0.172110294117647,0.9069965025470972,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_hard_m0p2_top32_cosine_l2\training_metrics.csv,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_hard_m0p2_top32_cosine_l2_encoder
triplet_hard_m0p1_top32_cosine_l2,triplet_hard_negative_mining,0.1,True,cosine,per_user,0.0100833333333333,0.5377450980392157,0.2739142156862745,0.1821617647058823,0.8999580143454441,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_hard_m0p1_top32_cosine_l2\training_metrics.csv,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_hard_m0p1_top32_cosine_l2_encoder
triplet_semihard_m0p2_top32_cosine_l2,triplet_hard_negative_mining,0.2,True,cosine,per_user,0.010078431372549,0.5875,0.2987892156862745,0.2058799019607843,0.8779975784554017,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_semihard_m0p2_top32_cosine_l2\training_metrics.csv,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_semihard_m0p2_top32_cosine_l2_encoder
triplet_semihard_m0p1_top32_cosine_l2,triplet_hard_negative_mining,0.1,True,cosine,per_user,0.0084019607843137,0.5911764705882353,0.2997892156862745,0.2178725490196078,0.8708427942377932,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_semihard_m0p1_top32_cosine_l2\training_metrics.csv,D:\Projects\keystroke_auth\reports\embedding_model\hard_negative_mining\triplet_semihard_m0p1_top32_cosine_l2_encoder
