split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9379373918685121,0.13719362745098038,0.15845927596092224,0.5143327713012695,0.3558734953403473,3264,163200
test,cosine,0.9062670931853134,0.1725245098039216,0.1834331452846527,0.5076077580451965,0.3241746127605438,4080,204000
validation,euclidean,0.9389212429188893,0.13699142156862745,0.5175817608833313,0.918368399143219,0.4007866382598877,3264,163200
test,euclidean,0.9069965025470973,0.17211029411764708,0.5548674464225769,0.911939799785614,0.3570723533630371,4080,204000
validation,manhattan,0.9350134188172818,0.14253982843137253,2.355358123779297,4.2126383781433105,1.8572802543640137,3264,163200
test,manhattan,0.9039911572472126,0.17664950980392158,2.521921396255493,4.187439441680908,1.665518045425415,4080,204000
