split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.983763895647107,0.06186274509803921,0.006031864322721958,0.1049736961722374,0.09894183184951544,3264,163200
test,cosine,0.9728708339340638,0.08110784313725491,0.008291221223771572,0.10446272045373917,0.0961714992299676,4080,204000
validation,euclidean,0.9837647291606593,0.06184436274509804,0.09257688373327255,0.4330170154571533,0.34044013172388077,3264,163200
test,euclidean,0.9728754944011918,0.08134313725490198,0.10630249977111816,0.4315684735774994,0.3252659738063812,4080,204000
validation,manhattan,0.9830273512591311,0.06283088235294121,0.38515976071357727,1.7962183952331543,1.411058634519577,3264,163200
test,manhattan,0.9706578773788928,0.0821666666666667,0.44218021631240845,1.7879444360733032,1.3457642197608948,4080,204000
