split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9835041012996805,0.06315563725490196,0.02550205960869789,0.4465387165546417,0.42103665694594383,3264,163200
test,cosine,0.9716693765618993,0.08530147058823531,0.03634951636195183,0.44334787130355835,0.4069983549416065,4080,204000
validation,euclidean,0.9835039661353207,0.06350183823529415,0.1831628829240799,0.8924657106399536,0.7093028277158737,3264,163200
test,euclidean,0.9716814548490965,0.0852450980392157,0.21380089223384857,0.8883751630783081,0.6745742708444595,4080,204000
validation,manhattan,0.9832192940365484,0.062478553921568626,0.8532482981681824,4.235936164855957,3.3826878666877747,3264,163200
test,manhattan,0.9700953833861976,0.08745833333333335,1.0040563344955444,4.219425678253174,3.2153693437576294,4080,204000
