epoch,loss,triplet_margin_accuracy,val_loss,val_triplet_margin_accuracy
1,0.04849536716938019,0.7534705996513367,0.022285502403974533,0.8808627724647522
2,0.031186074018478394,0.8280392289161682,0.018360869958996773,0.8977254629135132
3,0.025760522112250328,0.8510392308235168,0.016732756048440933,0.9051764607429504
4,0.02282518334686756,0.8639608025550842,0.01528982724994421,0.9130980372428894
5,0.02049260400235653,0.8749019503593445,0.014247722923755646,0.9177255034446716
6,0.018832340836524963,0.8810980319976807,0.013422757387161255,0.9204705953598022
7,0.017613397911190987,0.8890196084976196,0.013188875280320644,0.9219607710838318
8,0.016757285222411156,0.8912941217422485,0.012593257240951061,0.9249411821365356
9,0.01576411910355091,0.8966274261474609,0.012193607166409492,0.9269019365310669
10,0.015045125037431717,0.8984901905059814,0.01158501859754324,0.9296470880508423
11,0.014431560412049294,0.9014313817024231,0.011499590240418911,0.9306666851043701
12,0.013603526167571545,0.9057254791259766,0.011633340269327164,0.9287058711051941
13,0.013323933817446232,0.9078235030174255,0.010945782996714115,0.9320784211158752
14,0.012684900313615799,0.9114117622375488,0.011265292763710022,0.9310588240623474
15,0.012371262535452843,0.9127255082130432,0.011246706359088421,0.9312941431999207
16,0.01237775944173336,0.9134313464164734,0.010950515046715736,0.9341176748275757
17,0.011797423474490643,0.9161568880081177,0.01070800144225359,0.9358431100845337
18,0.011662229895591736,0.9160980582237244,0.010495662689208984,0.9352940917015076
19,0.011464875191450119,0.9172353148460388,0.010673983953893185,0.9349803924560547
20,0.011201969347894192,0.9193921685218811,0.010633861646056175,0.9338823556900024
21,0.010698535479605198,0.9204509854316711,0.010504077188670635,0.9358431100845337
22,0.010852281004190445,0.92060786485672,0.010400693863630295,0.9356862902641296
23,0.010869419202208519,0.9208235144615173,0.010387972928583622,0.9359999895095825
24,0.010492992587387562,0.9211961030960083,0.010218271054327488,0.9374117851257324
25,0.010120951570570469,0.9238235354423523,0.010379273444414139,0.9371764659881592
26,0.010120272636413574,0.923588216304779,0.010279441252350807,0.9374117851257324
27,0.009947794489562511,0.9256470799446106,0.010326051153242588,0.9366274476051331
28,0.010055849328637123,0.9250980615615845,0.010037004947662354,0.9381176233291626
29,0.009820177219808102,0.9249607920646667,0.009959270246326923,0.9399215579032898
30,0.00982451532036066,0.9269411563873291,0.01029230561107397,0.9370980262756348
31,0.009650029242038727,0.927450954914093,0.010407104156911373,0.9379608035087585
32,0.00973254069685936,0.9286078214645386,0.009980808943510056,0.9403136968612671
33,0.0092645063996315,0.9305294156074524,0.010104596614837646,0.9393725395202637
34,0.009538914076983929,0.9280784130096436,0.01016082614660263,0.9394509792327881
35,0.009256843477487564,0.9290000200271606,0.010222723707556725,0.938901960849762
36,0.00914030708372593,0.9296862483024597,0.009923102334141731,0.9392940998077393
37,0.008962164632976055,0.9307647347450256,0.010073636658489704,0.9372549057006836
38,0.008874337188899517,0.930980384349823,0.009836514480412006,0.9390588402748108
39,0.008909250609576702,0.9324510097503662,0.010359496809542179,0.938901960849762
40,0.008690827526152134,0.932941198348999,0.009977299720048904,0.9391372799873352
41,0.00865607988089323,0.9330980181694031,0.009962193667888641,0.9384313821792603
42,0.008486085571348667,0.9330391883850098,0.009667317382991314,0.9393725395202637
43,0.008546527475118637,0.9337058663368225,0.009658672846853733,0.9396862983703613
44,0.008707964792847633,0.9328039288520813,0.009719323366880417,0.9418823719024658
45,0.00829489715397358,0.9340196251869202,0.010130045935511589,0.9387450814247131
46,0.00839289277791977,0.9337254762649536,0.010406977497041225,0.9364705681800842
47,0.008215758018195629,0.9365686178207397,0.009927498176693916,0.9385098218917847
48,0.008526753634214401,0.933607816696167,0.00999276340007782,0.9398431181907654
49,0.008227713406085968,0.9361176490783691,0.009835507720708847,0.9393725395202637
50,0.008013879880309105,0.9374706149101257,0.009802592918276787,0.9385098218917847
