epoch,loss,triplet_margin_accuracy,val_loss,val_triplet_margin_accuracy
1,0.21441802382469177,0.2710196077823639,0.1421847939491272,0.5272156596183777
2,0.1752203404903412,0.3361176550388336,0.13221623003482819,0.5458823442459106
3,0.15888464450836182,0.36843135952949524,0.12476135790348053,0.5553725361824036
4,0.14576807618141174,0.3982941210269928,0.12069737911224365,0.5555294156074524
5,0.13577617704868317,0.42413726449012756,0.11578912287950516,0.5527843236923218
6,0.1265207976102829,0.4440784454345703,0.11120638251304626,0.561803936958313
7,0.11944346129894257,0.46568626165390015,0.10775074362754822,0.5583529472351074
8,0.11095427721738815,0.48221567273139954,0.10666308552026749,0.5407842993736267
9,0.09791923314332962,0.5133137106895447,0.10596293210983276,0.5066666603088379
10,0.06956559419631958,0.6024117469787598,0.11166384816169739,0.4216470718383789
11,0.04746308550238609,0.6987254619598389,0.113740935921669,0.36988234519958496
12,0.03524620458483696,0.7691176533699036,0.11670587956905365,0.33223530650138855
13,0.03073345310986042,0.8006470799446106,0.11778447031974792,0.32007843255996704
14,0.027429845184087753,0.8187450766563416,0.11822691559791565,0.3152941167354584
15,0.027646441012620926,0.819882333278656,0.11877864599227905,0.32094117999076843
16,0.02401638589799404,0.8363921642303467,0.11659468710422516,0.3139607906341553
17,0.022670168429613113,0.8490391969680786,0.11835800856351852,0.3001568615436554
