epoch,loss,triplet_margin_accuracy,val_loss,val_triplet_margin_accuracy
1,0.13675642013549805,0.40754902362823486,0.08649211376905441,0.630117654800415
2,0.11179447174072266,0.464078426361084,0.08093345910310745,0.6447843313217163
3,0.09930377453565598,0.4977450966835022,0.07599923759698868,0.6591372489929199
4,0.09058444201946259,0.5219411849975586,0.07241137325763702,0.6643137335777283
5,0.08348206430673599,0.5476470589637756,0.0674017146229744,0.6689411997795105
6,0.07842222601175308,0.5597842931747437,0.06381122767925262,0.6749804019927979
7,0.07299655675888062,0.5748823285102844,0.06074787303805351,0.6716862916946411
8,0.06790070980787277,0.5861176252365112,0.058151692152023315,0.6664313673973083
9,0.06320329755544662,0.5956666469573975,0.05534711480140686,0.6609411835670471
10,0.059429850429296494,0.5984509587287903,0.05260850861668587,0.6552156805992126
11,0.05328073352575302,0.6118039488792419,0.051114726811647415,0.6374902129173279
12,0.04160083457827568,0.6576666831970215,0.05123817175626755,0.5973333120346069
13,0.03001732937991619,0.7240588068962097,0.04846976324915886,0.5696470737457275
14,0.02275036834180355,0.7789999842643738,0.04979648068547249,0.5396862626075745
15,0.01988595724105835,0.798568606376648,0.0495196096599102,0.5254117846488953
16,0.01881249248981476,0.8145882487297058,0.04873378202319145,0.5232940912246704
17,0.01731247268617153,0.8267254829406738,0.0493570901453495,0.5101176500320435
18,0.01635478064417839,0.8355686068534851,0.04847582057118416,0.5152156949043274
19,0.016208050772547722,0.8447843194007874,0.047925326973199844,0.5256470441818237
20,0.015501579269766808,0.8480392098426819,0.047726381570100784,0.514274537563324
21,0.01624954119324684,0.8444117903709412,0.04780784994363785,0.5168627500534058
22,0.014622782357037067,0.8580784201622009,0.04707735404372215,0.5341176390647888
23,0.012853771448135376,0.8720784187316895,0.04759974405169487,0.5154509544372559
24,0.011887975037097931,0.8736078143119812,0.04678251966834068,0.5218039155006409
25,0.012675538659095764,0.8743921518325806,0.046800900250673294,0.5326274633407593
26,0.011453622952103615,0.883274495601654,0.046410735696554184,0.5193725228309631
27,0.011772245168685913,0.8787450790405273,0.04677695780992508,0.5176470875740051
28,0.012111746706068516,0.8790784478187561,0.04693474620580673,0.5353725552558899
29,0.010196981951594353,0.8901764750480652,0.04747435450553894,0.5045490264892578
30,0.011056260205805302,0.886803925037384,0.046759143471717834,0.5239999890327454
31,0.010450401343405247,0.8960391879081726,0.04845450073480606,0.5217254757881165
32,0.01191860344260931,0.8803529143333435,0.04664948582649231,0.5306666493415833
33,0.011676912195980549,0.882411777973175,0.04746219515800476,0.49843138456344604
34,0.012239061295986176,0.8821568489074707,0.047392088919878006,0.5250980257987976
