split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9919385347582661,0.04323835784313726,0.14759860932826996,0.9352741837501526,0.7876755744218826,3264,163200
test,cosine,0.9823970179738563,0.06623284313725489,0.18593689799308777,0.9363699555397034,0.7504330575466156,4080,204000
validation,euclidean,0.9922845836787533,0.0428799019607843,0.4908372163772583,1.2716290950775146,0.7807918787002563,3264,163200
test,euclidean,0.9831140330642061,0.06495833333333333,0.5455305576324463,1.2716258764266968,0.7260953187942505,4080,204000
validation,manhattan,0.9914431048154555,0.04550857843137255,2.236013650894165,5.860962390899658,3.624948740005493,3264,163200
test,manhattan,0.9818835838379469,0.067953431372549,2.491844892501831,5.8642802238464355,3.3724353313446045,4080,204000
