encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
triplet_m0p5_l2,validation,cosine,global,0.01,0.01,0.19699754901960784,0.10349877450980392,1632,643,3264,163200,0.040625,0.796875,0.01,0.19699754901960784,0,
triplet_m0p5_l2,test,cosine,global,0.01,0.011647058823529411,0.2870098039215686,0.149328431372549,2376,1171,4080,204000,0.05025,0.925,0.011647058823529411,0.2870098039215686,0,
triplet_m0p5_l2,validation,cosine,per_user,0.01,0.01,0.18045343137254902,0.09522671568627451,1632,589,3264,163200,0.01,0.8125,0.01,0.18045343137254902,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p5_l2,test,cosine,per_user,0.01,0.01075,0.24632352941176472,0.12853676470588235,2193,1005,4080,204000,0.033,0.8375,0.010750000000000003,0.24632352941176472,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p5_l2,validation,cosine,guarded,0.01,0.00914828431372549,0.19791666666666666,0.10353247549019608,1493,646,3264,163200,0.040625,0.796875,0.009148284313725491,0.19791666666666666,6,"s011,s033,s036,s040,s043,s049"
triplet_m0p5_l2,test,cosine,guarded,0.01,0.010813725490196078,0.2887254901960784,0.14976960784313725,2206,1178,4080,204000,0.05025,0.925,0.010813725490196078,0.2887254901960784,6,"s011,s033,s036,s040,s043,s049"
triplet_m0p5_l2,validation,euclidean,global,0.01,0.01,0.19730392156862744,0.10365196078431373,1632,644,3264,163200,0.0415625,0.78125,0.01,0.19730392156862744,0,
triplet_m0p5_l2,test,euclidean,global,0.01,0.01157843137254902,0.2870098039215686,0.1492941176470588,2362,1171,4080,204000,0.0495,0.9125,0.011578431372549018,0.2870098039215686,0,
triplet_m0p5_l2,validation,euclidean,per_user,0.01,0.01,0.18045343137254902,0.09522671568627451,1632,589,3264,163200,0.01,0.8125,0.01,0.18045343137254902,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p5_l2,test,euclidean,per_user,0.01,0.01075,0.24632352941176472,0.12853676470588235,2193,1005,4080,204000,0.033,0.8375,0.010750000000000003,0.24632352941176472,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p5_l2,validation,euclidean,guarded,0.01,0.009197303921568627,0.19791666666666666,0.10355698529411764,1501,646,3264,163200,0.0415625,0.78125,0.009197303921568627,0.19791666666666666,6,"s011,s033,s036,s040,s043,s049"
triplet_m0p5_l2,test,euclidean,guarded,0.01,0.010823529411764706,0.28823529411764703,0.14952941176470588,2208,1176,4080,204000,0.0495,0.9125,0.010823529411764704,0.28823529411764703,6,"s011,s033,s036,s040,s043,s049"
triplet_m0p5_l2,validation,manhattan,global,0.01,0.01,0.19883578431372548,0.10441789215686274,1632,649,3264,163200,0.0425,0.8125,0.01,0.19883578431372548,0,
triplet_m0p5_l2,test,manhattan,global,0.01,0.011774509803921569,0.28774509803921566,0.14975980392156862,2402,1174,4080,204000,0.05125,0.9125,0.011774509803921569,0.28774509803921566,0,
triplet_m0p5_l2,validation,manhattan,per_user,0.01,0.01,0.18903186274509803,0.09951593137254902,1632,617,3264,163200,0.01,0.828125,0.01,0.18903186274509803,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p5_l2,test,manhattan,per_user,0.01,0.010906862745098039,0.26029411764705884,0.13560049019607845,2225,1062,4080,204000,0.03175,0.8625,0.010906862745098037,0.2602941176470588,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
triplet_m0p5_l2,validation,manhattan,guarded,0.01,0.009295343137254901,0.19944852941176472,0.10437193627450982,1517,651,3264,163200,0.0425,0.8125,0.009295343137254901,0.19944852941176472,5,"s011,s036,s040,s043,s049"
triplet_m0p5_l2,test,manhattan,guarded,0.01,0.011073529411764706,0.28921568627450983,0.15014460784313727,2259,1180,4080,204000,0.05125,0.9125,0.011073529411764706,0.28921568627450983,5,"s011,s036,s040,s043,s049"
