split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9316861669415009,0.14465379901960784,0.3920031785964966,0.9479884505271912,0.5559852719306946,3264,163200
test,cosine,0.9121248077662437,0.1707769607843137,0.4299424886703491,0.9480142593383789,0.5180717706680298,4080,204000
validation,euclidean,0.9367714115364283,0.14255208333333333,0.7631043791770935,1.1447560787200928,0.38165169954299927,3264,163200
test,euclidean,0.9183566723135332,0.16590686274509803,0.7931824922561646,1.1446563005447388,0.3514738082885742,4080,204000
validation,manhattan,0.9308896734053609,0.14545036764705882,3.475029468536377,5.222790241241455,1.7477607727050781,3264,163200
test,manhattan,0.9118161139946173,0.1766666666666667,3.606835126876831,5.222488880157471,1.6156537532806396,4080,204000
