target_far,threshold,actual_far,actual_frr,far_per_10000_impostor_trials,frr_per_10000_genuine_trials
0.001,0.544,0.001,0.2019607843137255,10.0,2019.607843137255
0.005,0.20600000000000002,0.004990196078431372,0.08676470588235294,49.90196078431372,867.6470588235294
0.01,0.108,0.009990196078431372,0.055392156862745096,99.90196078431373,553.9215686274509
0.02,0.049,0.019700980392156862,0.03259803921568628,197.00980392156862,325.98039215686276
