policy,genuine_trials,impostor_trials,false_rejects,false_accepts,frr,far,max_user_frr,max_user_far,mean_user_frr,mean_user_far
global,4080,204000,103,2040,0.025245098039215687,0.01,0.075,0.029,0.025245098039215683,0.010000000000000002
naive,4080,204000,95,3019,0.023284313725490197,0.014799019607843137,0.0875,0.02175,0.023284313725490197,0.014799019607843139
guarded,4080,204000,104,1961,0.025490196078431372,0.009612745098039216,0.075,0.029,0.025490196078431372,0.009612745098039215
