score_type,count,min,p01,p05,median,mean,p95,p99,max
genuine,4080.0,1.6454585420433432e-05,0.007349824067205191,0.09271959960460663,0.9077054262161255,0.7659851312637329,0.9973418116569519,0.9994619488716125,0.9999659061431885
impostor,204000.0,1.3179429424863457e-27,2.1904673033157172e-16,1.5267569110008483e-12,4.279083441360854e-06,0.004680298268795013,0.012093814089894295,0.10786854475736618,0.9989092350006104
