threshold,far,frr
0.9999926090240479,0.0,0.9997549019607843
0.9999673366546631,0.0,0.9975490196078431
0.9999630451202393,0.0,0.9970588235294118
0.9998742341995239,0.0,0.9852941176470589
0.9998713731765747,0.0,0.9848039215686275
0.999605119228363,0.0,0.9605392156862745
0.9996050000190735,0.0,0.9600490196078432
0.9994320273399353,0.0,0.946078431372549
0.9994277358055115,0.0,0.9455882352941176
0.9993845224380493,0.0,0.942156862745098
0.9993775486946106,0.0,0.9416666666666667
0.9992967844009399,0.0,0.9348039215686275
0.9992963075637817,0.0,0.9343137254901961
0.9992067217826843,0.0,0.9262254901960785
0.9992063641548157,0.0,0.9257352941176471
0.9990713596343994,0.0,0.9164215686274509
0.9990577101707458,0.0,0.9159313725490196
0.9989043474197388,0.0,0.9053921568627451
0.9988941550254822,0.0,0.9049019607843137
0.9988923668861389,0.0,0.9044117647058824
0.9988909363746643,0.0,0.903921568627451
0.9985188841819763,0.0,0.8774509803921569
0.9985184073448181,0.0,0.8769607843137255
0.9984235763549805,0.0,0.871078431372549
0.9984222650527954,0.0,0.8705882352941177
0.9983938336372375,0.0,0.8688725490196079
0.9983933568000793,0.0,0.8683823529411765
0.9981967806816101,0.0,0.8602941176470589
0.9981867671012878,0.0,0.8598039215686275
0.9981074333190918,0.0,0.8551470588235294
0.9981050491333008,0.0,0.854656862745098
0.9980074763298035,0.0,0.85
0.9980030655860901,4.901960784313726e-06,0.85
0.9960203766822815,4.901960784313726e-06,0.7713235294117647
0.9960153698921204,4.901960784313726e-06,0.7708333333333334
0.995367169380188,4.901960784313726e-06,0.753921568627451
0.9953601956367493,4.901960784313726e-06,0.7534313725490196
0.9953258037567139,4.901960784313726e-06,0.7524509803921569
0.9953255653381348,4.901960784313726e-06,0.7519607843137255
0.9949506521224976,4.901960784313726e-06,0.7399509803921569
0.9949178695678711,4.901960784313726e-06,0.7394607843137255
0.9946271777153015,4.901960784313726e-06,0.7323529411764707
0.9946211576461792,9.803921568627451e-06,0.7323529411764707
0.9911091327667236,9.803921568627451e-06,0.6612745098039216
0.9911075234413147,9.803921568627451e-06,0.6607843137254902
0.981727123260498,9.803921568627451e-06,0.5465686274509804
0.9817185401916504,1.4705882352941177e-05,0.5465686274509804
0.9791898727416992,1.4705882352941177e-05,0.529656862745098
0.9791090488433838,1.4705882352941177e-05,0.5291666666666667
0.975173830986023,1.4705882352941177e-05,0.5061274509803921
0.9750345945358276,2.4509803921568626e-05,0.5061274509803921
0.9713795185089111,2.4509803921568626e-05,0.4825980392156862
0.9713274240493774,2.4509803921568626e-05,0.48210784313725485
0.9669244289398193,2.4509803921568626e-05,0.4612745098039216
0.9668720364570618,2.9411764705882354e-05,0.4612745098039216
0.9584927558898926,2.9411764705882354e-05,0.42500000000000004
0.9583771228790283,3.431372549019608e-05,0.42500000000000004
0.9522494077682495,3.431372549019608e-05,0.4034313725490196
0.9522230625152588,3.9215686274509805e-05,0.4034313725490196
0.9485858082771301,3.9215686274509805e-05,0.39117647058823535
0.9485579133033752,4.411764705882353e-05,0.39117647058823535
0.947603166103363,4.411764705882353e-05,0.38627450980392153
0.9472956657409668,4.411764705882353e-05,0.38578431372549016
0.9455190300941467,4.411764705882353e-05,0.3786764705882353
0.9455043077468872,4.901960784313725e-05,0.3786764705882353
0.9452162384986877,4.901960784313725e-05,0.3781862745098039
0.9450242519378662,5.882352941176471e-05,0.3781862745098039
0.9449519515037537,5.882352941176471e-05,0.3779411764705882
0.9448527693748474,6.372549019607843e-05,0.3779411764705882
0.9441052079200745,6.372549019607843e-05,0.3762254901960784
0.9438799023628235,6.862745098039216e-05,0.3762254901960784
0.9396329522132874,6.862745098039216e-05,0.3634803921568628
0.9396150708198547,7.352941176470588e-05,0.3634803921568628
0.9286134243011475,7.352941176470588e-05,0.3458333333333333
0.9285291433334351,7.843137254901961e-05,0.3458333333333333
0.9220939874649048,7.843137254901961e-05,0.3343137254901961
0.9220260977745056,8.333333333333333e-05,0.3343137254901961
0.9161351323127747,8.333333333333333e-05,0.3223039215686274
0.9160829186439514,8.823529411764706e-05,0.3223039215686274
0.9155780673027039,8.823529411764706e-05,0.32156862745098036
0.9154391884803772,9.313725490196079e-05,0.32156862745098036
0.9069851040840149,9.313725490196079e-05,0.3075980392156863
0.9069688320159912,9.80392156862745e-05,0.3073529411764706
0.9065046310424805,9.80392156862745e-05,0.30637254901960786
0.9057111740112305,0.00010294117647058824,0.30637254901960786
0.9046745896339417,0.00010294117647058824,0.3056372549019608
0.9045025110244751,0.00010784313725490196,0.3056372549019608
0.8948753476142883,0.00010784313725490196,0.29142156862745094
0.8945246338844299,0.00011274509803921568,0.29142156862745094
0.8927085995674133,0.00011274509803921568,0.28823529411764703
0.8925089836120605,0.00011764705882352942,0.28823529411764703
0.8917869925498962,0.00011764705882352942,0.2875
0.891681432723999,0.00012254901960784314,0.2875
