model,architecture,params,test_accuracy,eer,auth_threshold,target_far,actual_far,actual_frr,empirical_far,empirical_frr,genuine_rejects,impostor_accepts
baseline_v1_mlp_64,mlp_64,5363.0,0.8703431487083435,0.025924019607843136,0.108,0.01,0.009990196078431372,0.055392156862745096,0.0099901960784313,0.055392156862745,226.0,2038.0
baseline_v2_batchnorm,mlp_128_64_batchnorm,16243.0,0.9178921580314636,0.017142156862745124,0.0586082898080349,0.01,0.010004901960784313,0.025245098039215687,0.0100049019607843,0.0252450980392156,103.0,2041.0
