encoder,split,distance,policy,target_far,far,frr,balanced_error,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,selected_users_count,selected_users
siamese_m1p5_l2,validation,cosine,global,0.01,0.01,0.3477328431372549,0.17886642156862745,1632,1135,3264,163200,0.039375,0.875,0.01,0.3477328431372549,0,
siamese_m1p5_l2,test,cosine,global,0.01,0.010926470588235294,0.42867647058823527,0.2198014705882353,2229,1749,4080,204000,0.05325,1.0,0.010926470588235293,0.4286764705882354,0,
siamese_m1p5_l2,validation,cosine,per_user,0.01,0.01,0.33057598039215685,0.17028799019607843,1632,1079,3264,163200,0.01,0.8125,0.01,0.33057598039215685,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m1p5_l2,test,cosine,per_user,0.01,0.010784313725490196,0.3879901960784314,0.1993872549019608,2200,1583,4080,204000,0.02325,0.875,0.010784313725490192,0.3879901960784314,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m1p5_l2,validation,cosine,guarded,0.01,0.01,0.3477328431372549,0.17886642156862745,1632,1135,3264,163200,0.039375,0.875,0.01,0.3477328431372549,0,
siamese_m1p5_l2,test,cosine,guarded,0.01,0.010926470588235294,0.42867647058823527,0.2198014705882353,2229,1749,4080,204000,0.05325,1.0,0.010926470588235293,0.4286764705882354,0,
siamese_m1p5_l2,validation,euclidean,global,0.01,0.01,0.3477328431372549,0.17886642156862745,1632,1135,3264,163200,0.039375,0.890625,0.010000000000000002,0.3477328431372549,0,
siamese_m1p5_l2,test,euclidean,global,0.01,0.010897058823529412,0.42892156862745096,0.2199093137254902,2223,1750,4080,204000,0.05325,1.0,0.010897058823529412,0.42892156862745096,0,
siamese_m1p5_l2,validation,euclidean,per_user,0.01,0.01,0.33057598039215685,0.17028799019607843,1632,1079,3264,163200,0.01,0.8125,0.01,0.33057598039215685,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m1p5_l2,test,euclidean,per_user,0.01,0.010784313725490196,0.3879901960784314,0.1993872549019608,2200,1583,4080,204000,0.02325,0.875,0.010784313725490192,0.3879901960784314,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m1p5_l2,validation,euclidean,guarded,0.01,0.01,0.3477328431372549,0.17886642156862745,1632,1135,3264,163200,0.039375,0.890625,0.010000000000000002,0.3477328431372549,0,
siamese_m1p5_l2,test,euclidean,guarded,0.01,0.010897058823529412,0.42892156862745096,0.2199093137254902,2223,1750,4080,204000,0.05325,1.0,0.010897058823529412,0.42892156862745096,0,
siamese_m1p5_l2,validation,manhattan,global,0.01,0.01,0.3584558823529412,0.1842279411764706,1632,1170,3264,163200,0.03875,0.90625,0.009999999999999998,0.3584558823529412,0,
siamese_m1p5_l2,test,manhattan,global,0.01,0.010779411764705883,0.44313725490196076,0.22695833333333332,2199,1808,4080,204000,0.054,0.9875,0.01077941176470588,0.4431372549019608,0,
siamese_m1p5_l2,validation,manhattan,per_user,0.01,0.01,0.3330269607843137,0.17151348039215686,1632,1087,3264,163200,0.01,0.8125,0.01,0.3330269607843137,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m1p5_l2,test,manhattan,per_user,0.01,0.010784313725490196,0.396078431372549,0.2034313725490196,2200,1616,4080,204000,0.02275,0.8875,0.0107843137254902,0.39607843137254906,51,"s002,s003,s004,s005,s007,s008,s010,s011,s012,s013,s015,s016,s017,s018,s019,s020,s021,s022,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057"
siamese_m1p5_l2,validation,manhattan,guarded,0.01,0.009926470588235294,0.3587622549019608,0.18434436274509805,1620,1171,3264,163200,0.03875,0.90625,0.009926470588235292,0.3587622549019608,3,"s040,s044,s050"
siamese_m1p5_l2,test,manhattan,guarded,0.01,0.010730392156862745,0.4438725490196078,0.22730147058823527,2189,1811,4080,204000,0.054,0.9875,0.010730392156862742,0.4438725490196079,3,"s040,s044,s050"
