split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9730918884863994,0.07535232843137252,0.08584081381559372,1.0153224468231201,0.9294816330075264,3264,163200
test,cosine,0.9567566957420224,0.09630392156862744,0.12380967289209366,1.0133047103881836,0.8894950374960899,4080,204000
validation,euclidean,0.9737464782175124,0.07511642156862745,0.30591702461242676,1.3522846698760986,1.0463676452636719,3264,163200
test,euclidean,0.9584371984332949,0.09612745098039216,0.3613823354244232,1.3500540256500244,0.9886716902256012,4080,204000
validation,manhattan,0.9730663320973303,0.0766207107843137,1.3720028400421143,6.127506732940674,4.75550389289856,3264,163200
test,manhattan,0.9558713247308726,0.09554656862745098,1.6268575191497803,6.130106449127197,4.503248929977417,4080,204000
