split,distance,roc_auc,eer,genuine_mean,impostor_mean,margin,genuine_trials,impostor_trials
validation,cosine,0.9339297113414913,0.14183210784313727,0.03349170461297035,0.12600372731685638,0.09251202270388603,3264,163200
test,cosine,0.8999580143454441,0.18216176470588236,0.03869245573878288,0.12621505558490753,0.08752259984612465,4080,204000
validation,euclidean,0.9340478346669551,0.14183210784313727,0.24597638845443726,0.4401548504829407,0.19417846202850342,3264,163200
test,euclidean,0.9000850472174163,0.18236029411764706,0.2636587619781494,0.4392542541027069,0.1755954921245575,4080,204000
validation,manhattan,0.9309046034352773,0.14555147058823528,1.1152549982070923,2.036881923675537,0.9216269254684448,3264,163200
test,manhattan,0.8964912287341407,0.1845686274509804,1.1969722509384155,2.0334367752075195,0.836464524269104,4080,204000
